name,start_date_local,type,distance_meters,moving_time_sec,elapsed_time,elevation_gain_m,average_heartrate,max_heartrate,average_speed,start_time,start_date,week_start,distance_miles,elevation_gain_ft,moving_time,running_pace,avg_speed_mph
Afternoon Run,2020-10-01T17:11:29Z,Run,11974.0,3445,00:58:50,54.0,158.4,183.0,3.4760000000000004,17:11:29,2020-10-01,2020-09-28,7.4419,177.17,00:57:25,07:42,7.78
Lunch Run,2020-09-29T12:20:38Z,Run,5298.0,1566,00:26:44,27.0,,,3.383,12:20:38,2020-09-29,2020-09-28,3.2927,88.58,00:26:06,07:55,7.57
Evening Run,2020-09-28T19:15:42Z,Run,6764.0,1960,00:34:19,45.0,,,3.451,19:15:42,2020-09-28,2020-09-28,4.2039,147.64,00:32:40,07:46,7.72
Afternoon Run,2020-09-27T13:41:49Z,Run,11769.0,2999,00:50:04,54.0,,,3.924,13:41:49,2020-09-27,2020-09-21,7.3145,177.17,00:49:59,06:50,8.78
Morning Run,2020-09-17T10:46:50Z,Run,6196.0,1953,00:37:56,18.0,,,3.173,10:46:50,2020-09-17,2020-09-14,3.8508,59.06,00:32:33,08:27,7.1
I think I’m going to enjoy the winter on the trainer,2020-09-16T12:51:32Z,Ride,25037.0,3120,01:09:27,0.0,,,8.025,12:51:32,2020-09-16,2020-09-14,15.5606,0.0,00:52:00,,17.95
Morning Ride,2020-09-14T05:16:21Z,Ride,28458.0,3611,01:04:22,0.0,153.8,167.0,7.881,05:16:21,2020-09-14,2020-09-14,17.6868,0.0,01:00:11,,17.63
Morning Run,2020-09-12T05:27:13Z,Run,13973.0,4232,01:17:09,69.0,156.7,218.0,3.302,05:27:13,2020-09-12,2020-09-07,8.6843,226.38,01:10:32,08:07,7.39
Evening Run,2020-09-10T18:08:19Z,Run,9026.0,2614,00:44:33,33.0,,,3.4530000000000003,18:08:19,2020-09-10,2020-09-07,5.6097,108.27,00:43:34,07:45,7.72
Morning Ride,2020-09-09T05:34:48Z,Ride,24776.0,3610,01:00:10,3.0,144.1,160.0,6.8629999999999995,05:34:48,2020-09-09,2020-09-07,15.3984,9.84,01:00:10,,15.35
Evening Ride,2020-09-07T19:33:43Z,Ride,13788.0,1805,00:30:05,6.0,156.2,179.0,7.638999999999999,19:33:43,2020-09-07,2020-09-07,8.5693,19.69,00:30:05,,17.09
Afternoon Run,2020-09-06T13:07:34Z,Run,15043.0,4188,01:12:04,132.0,173.2,251.0,3.592,13:07:34,2020-09-06,2020-08-31,9.3493,433.07,01:09:48,07:27,8.04
Z2 HR Training,2020-09-04T05:29:27Z,Run,12541.0,3904,01:05:04,51.0,144.2,180.0,3.2119999999999997,05:29:27,2020-09-04,2020-08-31,7.7943,167.32,01:05:04,08:20,7.19
Trainer Test 3: with bike pod ,2020-09-02T19:58:27Z,Ride,11691.0,1875,00:33:31,0.0,,,6.235,19:58:27,2020-09-02,2020-08-31,7.266,0.0,00:31:15,,13.95
Trainer test 2,2020-09-01T19:49:18Z,Ride,3.0,1,00:30:43,0.0,104.0,192.0,3.0,19:49:18,2020-09-01,2020-08-31,0.0019,0.0,00:00:01,,6.71
Trying out the trainer,2020-08-31T19:57:41Z,Ride,2.0,1,00:30:02,0.0,172.0,191.0,2.0,19:57:41,2020-08-31,2020-08-31,0.0012,0.0,00:00:01,,4.47
Afternoon Ride,2020-08-30T13:16:13Z,Ride,19520.0,3591,01:31:03,75.0,144.4,188.0,5.436,13:16:13,2020-08-30,2020-08-24,12.1318,246.06,00:59:51,,12.16
Morning Ride,2020-08-29T10:14:11Z,Ride,17481.0,2211,00:41:28,99.0,,,7.906000000000001,10:14:11,2020-08-29,2020-08-24,10.8645,324.8,00:36:51,,17.69
Morning Run,2020-08-27T05:29:55Z,Run,8263.0,2469,00:41:12,66.0,,,3.347,05:29:55,2020-08-27,2020-08-24,5.1355,216.54,00:41:09,08:00,7.49
Evening Run,2020-08-25T19:51:45Z,Run,7722.0,2010,00:34:58,18.0,,,3.842,19:51:45,2020-08-25,2020-08-24,4.7993,59.06,00:33:30,06:58,8.59
Lunch Ride,2020-08-22T11:16:24Z,Ride,20422.0,3771,01:28:58,134.0,,,5.416,11:16:24,2020-08-22,2020-08-17,12.6924,439.63,01:02:51,,12.12
Morning Run,2020-08-18T05:19:45Z,Run,13306.0,3642,01:00:42,89.0,,,3.653,05:19:45,2020-08-18,2020-08-17,8.2697,291.99,01:00:42,07:20,8.17
WU,2020-08-08T09:32:03Z,Run,2010.0,545,00:09:10,6.0,154.1,188.0,3.688,09:32:03,2020-08-08,2020-08-03,1.2492,19.69,00:09:05,07:16,8.25
Afternoon Run,2020-08-05T17:54:57Z,Run,7059.0,2359,00:56:59,24.0,,,2.992,17:54:57,2020-08-05,2020-08-03,4.3872,78.74,00:39:19,08:57,6.69
